Raw_FID,Store_ID,NAME,TELEPHONE,ADDRESS,ZIP,GEOLINKID,WEBSITE,ORGAN_NAME
51139,11685300,PATHMARK,212-227-3520,227 CHERRY STREET,10002,802556483,HTTP://WWW.PATHMARK.COM,PATHMARK STORES INC
51311,11659945,DUANE READE,212-943-3690,67 BROAD STREET,10004,21638105,HTTP://WWW.DUANEREADE.COM,DUANE READE
51311,11659942,DUANE READE,212-742-8454,45 PINE STREET,10005,21638283,HTTP://WWW.DUANEREADE.COM,DUANE READE
51385,11688220,DOWNTOWN PHARMACY,212-766-1942,19 BEEKMAN STREET,10038,21638405,HTTP://WWW.DOWNTOWNPHARMACY.COM,THRIFTWAY BEEKMAN DRUG CORP
51434,11690419,MEDPHARM DRUG AND TRADING INCORPORATED,212-267-5670,61 CATHERINE STREET,10038,21626902, HTTP://WWW.MEDPHARMA.COM,MEDPHARM DRUG AND TRADING INC
51436,11684300,CVS - 2716,212-233-5023,129 FULTON STREET,10038,21638326,HTTP://WWW.CVS.COM,"CVS ALBANY, L.L.C."
51311,11659371,DUANE READE,212-363-5830,95 WALL STREET,10005,21638264,HTTP://WWW.DUANEREADE.COM,DUANE READE
51494,11647424,DOWNTOWN PHARMACY,212-233-0333,165 WILLIAM STREET,10038,21638429,HTTP://WWW.DOWNTOWNPHARMACY.COM,DOWNTOWN PHARMACY INC.
51311,11660100,DUANE READE,212-385-1131,130 WILLIAM STREET,10038,21638428,HTTP://WWW.DUANEREADE.COM,DUANE READE
51311,11641613,DUANE READE,212-619-7181,17 JOHN STREET,10038,21638310,HTTP://WWW.DUANEREADE.COM,DUANE READE
51311,11659374,DUANE READE,212-509-9020,1 WHITEHALL STREET,10004,21638224,HTTP://WWW.DUANEREADE.COM,DUANE READE
